Round,Indicator,Group,Subgroup,Sample Size,Response,Percent,Standard Error,Suppression,Significant 1,Significant 2
3,Reduced access to surgical procedure,Age group,65 years and over,1722,Total,,,,,
3,Reduced access to surgical procedure,Age group,65 years and over,,For any reason,3.1,0.5,,1,0
3,Reduced access to surgical procedure,Age group,65 years and over,,Due to pandemic,1.2,0.3,,1,1
3,Reduced access to surgical procedure,Race/Hispanic origin,White non-Hispanic,3441,Total,,,,,
3,Reduced access to surgical procedure,Race/Hispanic origin,White non-Hispanic,,For any reason,2.5,0.4,,1,1
3,Reduced access to surgical procedure,Race/Hispanic origin,White non-Hispanic,,Due to pandemic,0.8,0.2,,1,1
3,Reduced access to surgical procedure,Race/Hispanic origin,Black non-Hispanic,758,Total,,,,,
3,Reduced access to surgical procedure,Race/Hispanic origin,Black non-Hispanic,,For any reason,7.1,1.5,,0,0
3,Reduced access to surgical procedure,Race/Hispanic origin,Black non-Hispanic,,Due to pandemic,2,0.6,,0,0
3,Reduced access to surgical procedure,Race/Hispanic origin,Other non-Hispanic,388,Total,,,,,
3,Reduced access to surgical procedure,Race/Hispanic origin,Other non-Hispanic,,For any reason,2.4,1,,0,
3,Reduced access to surgical procedure,Race/Hispanic origin,Other non-Hispanic,,Due to pandemic,0.3,0.2,,1,
3,Reduced access to surgical procedure,Race/Hispanic origin,Hispanic,813,Total,,,,,
3,Reduced access to surgical procedure,Race/Hispanic origin,Hispanic,,For any reason,5.2,1.2,,0,0
3,Reduced access to surgical procedure,Race/Hispanic origin,Hispanic,,Due to pandemic,2.3,0.7,,1,0
3,Reduced access to surgical procedure,Sex,Male,2442,Total,,,,,
3,Reduced access to surgical procedure,Sex,Male,,For any reason,2.9,0.4,,1,0
3,Reduced access to surgical procedure,Sex,Male,,Due to pandemic,1,0.3,,1,1
3,Reduced access to surgical procedure,Sex,Female,2958,Total,,,,,
3,Reduced access to surgical procedure,Sex,Female,,For any reason,4.1,0.6,,1,0
3,Reduced access to surgical procedure,Sex,Female,,Due to pandemic,1.3,0.3,,1,1
3,Reduced access to surgical procedure,Education,High school graduate or less,1266,Total,,,,,
3,Reduced access to surgical procedure,Education,High school graduate or less,,For any reason,4.5,0.8,,0,0
3,Reduced access to surgical procedure,Education,High school graduate or less,,Due to pandemic,1.1,0.3,,1,1
3,Reduced access to surgical procedure,Education,Some college,2555,Total,,,,,
3,Reduced access to surgical procedure,Education,Some college,,For any reason,3.6,0.5,,1,0
3,Reduced access to surgical procedure,Education,Some college,,Due to pandemic,1.8,0.4,,1,1
3,Reduced access to surgical procedure,Education,Bachelor's degree or above,1579,Total,,,,,
3,Reduced access to surgical procedure,Education,Bachelor's degree or above,,For any reason,2.1,0.3,,1,0
3,Reduced access to surgical procedure,Education,Bachelor's degree or above,,Due to pandemic,0.5,0.2,,1,1
3,Reduced access to surgical procedure,Urbanization,Metropolitan,4572,Total,,,,,
3,Reduced access to surgical procedure,Urbanization,Metropolitan,,For any reason,3.7,0.5,,1,0
3,Reduced access to surgical procedure,Urbanization,Metropolitan,,Due to pandemic,1.2,0.2,,1,1
3,Reduced access to surgical procedure,Urbanization,Non-Metropolitan,828,Total,,,,,
3,Reduced access to surgical procedure,Urbanization,Non-Metropolitan,,For any reason,2.4,0.7,,1,1
3,Reduced access to surgical procedure,Urbanization,Non-Metropolitan,,Due to pandemic,0.9,0.3,,1,0
3,Reduced access to surgical procedure,Chronic conditions,One or more chronic conditions,3376,Total,,,,,
3,Reduced access to surgical procedure,Chronic conditions,One or more chronic conditions,,For any reason,4.5,0.6,,1,0
3,Reduced access to surgical procedure,Chronic conditions,One or more chronic conditions,,Due to pandemic,1.4,0.3,,1,1
3,Reduced access to surgical procedure,Chronic conditions,Diagnosed diabetes,732,Total,,,,,
3,Reduced access to surgical procedure,Chronic conditions,Diagnosed diabetes,,For any reason,8.2,1.7,,0,0
3,Reduced access to surgical procedure,Chronic conditions,Diagnosed diabetes,,Due to pandemic,2.5,0.7,,1,0
3,Reduced access to surgical procedure,Chronic conditions,Diagnosed hypertension,2077,Total,,,,,
3,Reduced access to surgical procedure,Chronic conditions,Diagnosed hypertension,,For any reason,5.1,0.8,,1,0
3,Reduced access to surgical procedure,Chronic conditions,Diagnosed hypertension,,Due to pandemic,1.5,0.4,,1,1
3,Reduced access to surgical procedure,Chronic conditions,Current asthma,560,Total,,,,,
3,Reduced access to surgical procedure,Chronic conditions,Current asthma,,For any reason,7,1.7,,0,0
3,Reduced access to surgical procedure,Chronic conditions,Current asthma,,Due to pandemic,2.3,0.8,,1,0
1,Reduced access to diagnostic or medical screening test,Total,Total,6716,Total,,,,,
1,Reduced access to diagnostic or medical screening test,Total,Total,,For any reason,9.6,0.5,,,
1,Reduced access to diagnostic or medical screening test,Total,Total,,Due to pandemic,6.4,0.4,,,
1,Reduced access to diagnostic or medical screening test,Age group,18-44 years,2593,Total,,,,,
1,Reduced access to diagnostic or medical screening test,Age group,18-44 years,,For any reason,7.9,0.6,,,
1,Reduced access to diagnostic or medical screening test,Age group,18-44 years,,Due to pandemic,4.9,0.5,,,
1,Reduced access to diagnostic or medical screening test,Age group,45-64 years,2347,Total,,,,,
1,Reduced access to diagnostic or medical screening test,Age group,45-64 years,,For any reason,11,0.7,,,
1,Reduced access to diagnostic or medical screening test,Age group,45-64 years,,Due to pandemic,7.2,0.6,,,
1,Reduced access to diagnostic or medical screening test,Age group,65 years and over,1776,Total,,,,,
1,Reduced access to diagnostic or medical screening test,Age group,65 years and over,,For any reason,11,1,,,
1,Reduced access to diagnostic or medical screening test,Age group,65 years and over,,Due to pandemic,8.5,0.8,,,
1,Reduced access to diagnostic or medical screening test,Race/Hispanic origin,White non-Hispanic,4456,Total,,,,,
1,Reduced access to diagnostic or medical screening test,Race/Hispanic origin,White non-Hispanic,,For any reason,8.9,0.6,,,
1,Reduced access to diagnostic or medical screening test,Race/Hispanic origin,White non-Hispanic,,Due to pandemic,6.1,0.5,,,
1,Reduced access to diagnostic or medical screening test,Race/Hispanic origin,Black non-Hispanic,803,Total,,,,,
1,Reduced access to diagnostic or medical screening test,Race/Hispanic origin,Black non-Hispanic,,For any reason,10.9,1.3,,,
1,Reduced access to diagnostic or medical screening test,Race/Hispanic origin,Black non-Hispanic,,Due to pandemic,5.3,0.9,,,
1,Reduced access to diagnostic or medical screening test,Race/Hispanic origin,Other non-Hispanic,524,Total,,,,,
1,Reduced access to diagnostic or medical screening test,Race/Hispanic origin,Other non-Hispanic,,For any reason,12.2,1.8,,,
1,Reduced access to diagnostic or medical screening test,Race/Hispanic origin,Other non-Hispanic,,Due to pandemic,8.9,1.3,,,
1,Reduced access to diagnostic or medical screening test,Race/Hispanic origin,Hispanic,933,Total,,,,,
1,Reduced access to diagnostic or medical screening test,Race/Hispanic origin,Hispanic,,For any reason,10.2,1.4,,,
1,Reduced access to diagnostic or medical screening test,Race/Hispanic origin,Hispanic,,Due to pandemic,7.4,1.2,,,
1,Reduced access to diagnostic or medical screening test,Sex,Male,2941,Total,,,,,
1,Reduced access to diagnostic or medical screening test,Sex,Male,,For any reason,7.7,0.5,,,
1,Reduced access to diagnostic or medical screening test,Sex,Male,,Due to pandemic,4.5,0.4,,,
1,Reduced access to diagnostic or medical screening test,Sex,Female,3775,Total,,,,,
1,Reduced access to diagnostic or medical screening test,Sex,Female,,For any reason,11.3,0.8,,,
1,Reduced access to diagnostic or medical screening test,Sex,Female,,Due to pandemic,8.2,0.6,,,
1,Reduced access to diagnostic or medical screening test,Education,High school graduate or less,1282,Total,,,,,
1,Reduced access to diagnostic or medical screening test,Education,High school graduate or less,,For any reason,8.1,0.9,,,
1,Reduced access to diagnostic or medical screening test,Education,High school graduate or less,,Due to pandemic,4.7,0.7,,,
1,Reduced access to diagnostic or medical screening test,Education,Some college,2521,Total,,,,,
1,Reduced access to diagnostic or medical screening test,Education,Some college,,For any reason,9.9,0.7,,,
1,Reduced access to diagnostic or medical screening test,Education,Some college,,Due to pandemic,6.5,0.5,,,
1,Reduced access to diagnostic or medical screening test,Education,Bachelor's degree or above,2913,Total,,,,,
1,Reduced access to diagnostic or medical screening test,Education,Bachelor's degree or above,,For any reason,10.9,0.7,,,
1,Reduced access to diagnostic or medical screening test,Education,Bachelor's degree or above,,Due to pandemic,8.2,0.6,,,
1,Reduced access to diagnostic or medical screening test,Urbanization,Metropolitan,5990,Total,,,,,
1,Reduced access to diagnostic or medical screening test,Urbanization,Metropolitan,,For any reason,9.8,0.5,,,
1,Reduced access to diagnostic or medical screening test,Urbanization,Metropolitan,,Due to pandemic,6.5,0.4,,,
1,Reduced access to diagnostic or medical screening test,Urbanization,Non-Metropolitan,726,Total,,,,,
1,Reduced access to diagnostic or medical screening test,Urbanization,Non-Metropolitan,,For any reason,7.6,1.5,,,
1,Reduced access to diagnostic or medical screening test,Urbanization,Non-Metropolitan,,Due to pandemic,5.5,1.5,,,
1,Reduced access to diagnostic or medical screening test,Chronic conditions,One or more chronic conditions,4030,Total,,,,,
1,Reduced access to diagnostic or medical screening test,Chronic conditions,One or more chronic conditions,,For any reason,12.3,0.6,,,
1,Reduced access to diagnostic or medical screening test,Chronic conditions,One or more chronic conditions,,Due to pandemic,8.2,0.5,,,
1,Reduced access to diagnostic or medical screening test,Chronic conditions,Diagnosed diabetes,760,Total,,,,,
1,Reduced access to diagnostic or medical screening test,Chronic conditions,Diagnosed diabetes,,For any reason,16.3,1.3,,,
1,Reduced access to diagnostic or medical screening test,Chronic conditions,Diagnosed diabetes,,Due to pandemic,9.4,1,,,
1,Reduced access to diagnostic or medical screening test,Chronic conditions,Diagnosed hypertension,2390,Total,,,,,
1,Reduced access to diagnostic or medical screening test,Chronic conditions,Diagnosed hypertension,,For any reason,12.9,0.8,,,
1,Reduced access to diagnostic or medical screening test,Chronic conditions,Diagnosed hypertension,,Due to pandemic,8.6,0.7,,,
1,Reduced access to diagnostic or medical screening test,Chronic conditions,Current asthma,691,Total,,,,,
1,Reduced access to diagnostic or medical screening test,Chronic conditions,Current asthma,,For any reason,15.1,1.5,,,
1,Reduced access to diagnostic or medical screening test,Chronic conditions,Current asthma,,Due to pandemic,9.8,1.3,,,
2,Reduced access to diagnostic or medical screening test,Total,Total,5927,Total,,,,,
2,Reduced access to diagnostic or medical screening test,Total,Total,,For any reason,8.4,0.6,,0,
2,Reduced access to diagnostic or medical screening test,Total,Total,,Due to pandemic,4.5,0.4,,1,
2,Reduced access to diagnostic or medical screening test,Age group,18-44 years,2202,Total,,,,,
2,Reduced access to diagnostic or medical screening test,Age group,18-44 years,,For any reason,8.1,0.9,,0,
2,Reduced access to diagnostic or medical screening test,Age group,18-44 years,,Due to pandemic,3.6,0.5,,1,
2,Reduced access to diagnostic or medical screening test,Age group,45-64 years,2064,Total,,,,,
2,Reduced access to diagnostic or medical screening test,Age group,45-64 years,,For any reason,8.7,0.8,,1,
2,Reduced access to diagnostic or medical screening test,Age group,45-64 years,,Due to pandemic,5.7,0.7,,0,
2,Reduced access to diagnostic or medical screening test,Age group,65 years and over,1661,Total,,,,,
2,Reduced access to diagnostic or medical screening test,Age group,65 years and over,,For any reason,8.3,0.9,,1,
2,Reduced access to diagnostic or medical screening test,Age group,65 years and over,,Due to pandemic,4.6,0.7,,1,
2,Reduced access to diagnostic or medical screening test,Race/Hispanic origin,White non-Hispanic,4042,Total,,,,,
2,Reduced access to diagnostic or medical screening test,Race/Hispanic origin,White non-Hispanic,,For any reason,7.2,0.5,,1,
2,Reduced access to diagnostic or medical screening test,Race/Hispanic origin,White non-Hispanic,,Due to pandemic,4.1,0.5,,1,
2,Reduced access to diagnostic or medical screening test,Race/Hispanic origin,Black non-Hispanic,684,Total,,,,,
2,Reduced access to diagnostic or medical screening test,Race/Hispanic origin,Black non-Hispanic,,For any reason,11.7,1.3,,0,
2,Reduced access to diagnostic or medical screening test,Race/Hispanic origin,Black non-Hispanic,,Due to pandemic,5.1,0.7,,0,
2,Reduced access to diagnostic or medical screening test,Race/Hispanic origin,Other non-Hispanic,458,Total,,,,,
2,Reduced access to diagnostic or medical screening test,Race/Hispanic origin,Other non-Hispanic,,For any reason,9.4,1.5,,0,
2,Reduced access to diagnostic or medical screening test,Race/Hispanic origin,Other non-Hispanic,,Due to pandemic,6,1.7,,0,
2,Reduced access to diagnostic or medical screening test,Race/Hispanic origin,Hispanic,743,Total,,,,,
2,Reduced access to diagnostic or medical screening test,Race/Hispanic origin,Hispanic,,For any reason,9.9,1.6,,0,
2,Reduced access to diagnostic or medical screening test,Race/Hispanic origin,Hispanic,,Due to pandemic,5.2,1.1,,0,
2,Reduced access to diagnostic or medical screening test,Sex,Male,2574,Total,,,,,
2,Reduced access to diagnostic or medical screening test,Sex,Male,,For any reason,7.7,0.9,,0,
2,Reduced access to diagnostic or medical screening test,Sex,Male,,Due to pandemic,3.7,0.6,,0,
2,Reduced access to diagnostic or medical screening test,Sex,Female,3353,Total,,,,,
2,Reduced access to diagnostic or medical screening test,Sex,Female,,For any reason,9,0.7,,1,
2,Reduced access to diagnostic or medical screening test,Sex,Female,,Due to pandemic,5.3,0.6,,1,
2,Reduced access to diagnostic or medical screening test,Education,High school graduate or less,1093,Total,,,,,
2,Reduced access to diagnostic or medical screening test,Education,High school graduate or less,,For any reason,8.7,1.1,,0,
2,Reduced access to diagnostic or medical screening test,Education,High school graduate or less,,Due to pandemic,3.3,0.7,,0,
2,Reduced access to diagnostic or medical screening test,Education,Some college,2208,Total,,,,,
2,Reduced access to diagnostic or medical screening test,Education,Some college,,For any reason,9.5,0.7,,0,
2,Reduced access to diagnostic or medical screening test,Education,Some college,,Due to pandemic,6.1,0.6,,0,
2,Reduced access to diagnostic or medical screening test,Education,Bachelor's degree or above,2626,Total,,,,,
2,Reduced access to diagnostic or medical screening test,Education,Bachelor's degree or above,,For any reason,7,0.5,,1,
2,Reduced access to diagnostic or medical screening test,Education,Bachelor's degree or above,,Due to pandemic,4.4,0.5,,1,
2,Reduced access to diagnostic or medical screening test,Urbanization,Metropolitan,5272,Total,,,,,
2,Reduced access to diagnostic or medical screening test,Urbanization,Metropolitan,,For any reason,8.4,0.6,,1,
2,Reduced access to diagnostic or medical screening test,Urbanization,Metropolitan,,Due to pandemic,4.6,0.4,,1,
2,Reduced access to diagnostic or medical screening test,Urbanization,Non-Metropolitan,655,Total,,,,,
2,Reduced access to diagnostic or medical screening test,Urbanization,Non-Metropolitan,,For any reason,7.9,2.2,,0,
2,Reduced access to diagnostic or medical screening test,Urbanization,Non-Metropolitan,,Due to pandemic,,,*,,
2,Reduced access to diagnostic or medical screening test,Chronic conditions,One or more chronic conditions,3621,Total,,,,,
2,Reduced access to diagnostic or medical screening test,Chronic conditions,One or more chronic conditions,,For any reason,10.6,0.8,,0,
2,Reduced access to diagnostic or medical screening test,Chronic conditions,One or more chronic conditions,,Due to pandemic,6.2,0.6,,1,
2,Reduced access to diagnostic or medical screening test,Chronic conditions,Diagnosed diabetes,685,Total,,,,,
2,Reduced access to diagnostic or medical screening test,Chronic conditions,Diagnosed diabetes,,For any reason,15.8,2.6,,0,
2,Reduced access to diagnostic or medical screening test,Chronic conditions,Diagnosed diabetes,,Due to pandemic,9.5,2.2,,0,
2,Reduced access to diagnostic or medical screening test,Chronic conditions,Diagnosed hypertension,2169,Total,,,,,
2,Reduced access to diagnostic or medical screening test,Chronic conditions,Diagnosed hypertension,,For any reason,10.7,1.1,,0,
2,Reduced access to diagnostic or medical screening test,Chronic conditions,Diagnosed hypertension,,Due to pandemic,6,0.9,,1,
2,Reduced access to diagnostic or medical screening test,Chronic conditions,Current asthma,615,Total,,,,,
2,Reduced access to diagnostic or medical screening test,Chronic conditions,Current asthma,,For any reason,15.5,2.3,,0,
2,Reduced access to diagnostic or medical screening test,Chronic conditions,Current asthma,,Due to pandemic,9.1,1.8,,0,
3,Reduced access to diagnostic or medical screening test,Total,Total,5422,Total,,,,,
3,Reduced access to diagnostic or medical screening test,Total,Total,,For any reason,7.4,0.4,,1,0
3,Reduced access to diagnostic or medical screening test,Total,Total,,Due to pandemic,2.4,0.3,,1,1
3,Reduced access to diagnostic or medical screening test,Age group,18-44 years,1967,Total,,,,,
3,Reduced access to diagnostic or medical screening test,Age group,18-44 years,,For any reason,7.8,0.8,,0,0
3,Reduced access to diagnostic or medical screening test,Age group,18-44 years,,Due to pandemic,2.2,0.5,,1,1
3,Reduced access to diagnostic or medical screening test,Age group,45-64 years,1723,Total,,,,,
3,Reduced access to diagnostic or medical screening test,Age group,45-64 years,,For any reason,8.1,0.8,,1,0
3,Reduced access to diagnostic or medical screening test,Age group,45-64 years,,Due to pandemic,2.9,0.5,,1,1
3,Reduced access to diagnostic or medical screening test,Age group,65 years and over,1732,Total,,,,,
3,Reduced access to diagnostic or medical screening test,Age group,65 years and over,,For any reason,5.6,0.7,,1,1
3,Reduced access to diagnostic or medical screening test,Age group,65 years and over,,Due to pandemic,2.2,0.4,,1,1
3,Reduced access to diagnostic or medical screening test,Race/Hispanic origin,White non-Hispanic,3459,Total,,,,,
3,Reduced access to diagnostic or medical screening test,Race/Hispanic origin,White non-Hispanic,,For any reason,6.3,0.4,,1,0
3,Reduced access to diagnostic or medical screening test,Race/Hispanic origin,White non-Hispanic,,Due to pandemic,2.1,0.3,,1,1
3,Reduced access to diagnostic or medical screening test,Race/Hispanic origin,Black non-Hispanic,758,Total,,,,,
3,Reduced access to diagnostic or medical screening test,Race/Hispanic origin,Black non-Hispanic,,For any reason,11.7,1.7,,0,0
3,Reduced access to diagnostic or medical screening test,Race/Hispanic origin,Black non-Hispanic,,Due to pandemic,3.1,0.8,,0,0
3,Reduced access to diagnostic or medical screening test,Race/Hispanic origin,Other non-Hispanic,390,Total,,,,,
3,Reduced access to diagnostic or medical screening test,Race/Hispanic origin,Other non-Hispanic,,For any reason,7.1,2,,1,0
3,Reduced access to diagnostic or medical screening test,Race/Hispanic origin,Other non-Hispanic,,Due to pandemic,,,*,,
3,Reduced access to diagnostic or medical screening test,Race/Hispanic origin,Hispanic,815,Total,,,,,
3,Reduced access to diagnostic or medical screening test,Race/Hispanic origin,Hispanic,,For any reason,9,1.3,,0,0
3,Reduced access to diagnostic or medical screening test,Race/Hispanic origin,Hispanic,,Due to pandemic,2.6,0.6,,1,1
3,Reduced access to diagnostic or medical screening test,Sex,Male,2448,Total,,,,,
3,Reduced access to diagnostic or medical screening test,Sex,Male,,For any reason,6.7,0.7,,0,0
3,Reduced access to diagnostic or medical screening test,Sex,Male,,Due to pandemic,2.2,0.3,,1,1
3,Reduced access to diagnostic or medical screening test,Sex,Female,2974,Total,,,,,
3,Reduced access to diagnostic or medical screening test,Sex,Female,,For any reason,8.1,0.6,,1,0
3,Reduced access to diagnostic or medical screening test,Sex,Female,,Due to pandemic,2.7,0.5,,1,1
3,Reduced access to diagnostic or medical screening test,Education,High school graduate or less,1272,Total,,,,,
3,Reduced access to diagnostic or medical screening test,Education,High school graduate or less,,For any reason,8,0.8,,0,0
3,Reduced access to diagnostic or medical screening test,Education,High school graduate or less,,Due to pandemic,1.9,0.4,,1,1
3,Reduced access to diagnostic or medical screening test,Education,Some college,2568,Total,,,,,
3,Reduced access to diagnostic or medical screening test,Education,Some college,,For any reason,7.7,0.8,,1,0
3,Reduced access to diagnostic or medical screening test,Education,Some college,,Due to pandemic,3.2,0.5,,1,1
3,Reduced access to diagnostic or medical screening test,Education,Bachelor's degree or above,1582,Total,,,,,
3,Reduced access to diagnostic or medical screening test,Education,Bachelor's degree or above,,For any reason,6.4,0.8,,1,0
3,Reduced access to diagnostic or medical screening test,Education,Bachelor's degree or above,,Due to pandemic,2.3,0.6,,1,1
3,Reduced access to diagnostic or medical screening test,Urbanization,Metropolitan,4590,Total,,,,,
3,Reduced access to diagnostic or medical screening test,Urbanization,Metropolitan,,For any reason,7.7,0.4,,1,0
3,Reduced access to diagnostic or medical screening test,Urbanization,Metropolitan,,Due to pandemic,2.5,0.3,,1,1
3,Reduced access to diagnostic or medical screening test,Urbanization,Non-Metropolitan,832,Total,,,,,
3,Reduced access to diagnostic or medical screening test,Urbanization,Non-Metropolitan,,For any reason,5.9,0.7,,0,0
3,Reduced access to diagnostic or medical screening test,Urbanization,Non-Metropolitan,,Due to pandemic,1.8,0.4,,1,
3,Reduced access to diagnostic or medical screening test,Chronic conditions,One or more chronic conditions,3394,Total,,,,,
3,Reduced access to diagnostic or medical screening test,Chronic conditions,One or more chronic conditions,,For any reason,8.5,0.5,,1,1
3,Reduced access to diagnostic or medical screening test,Chronic conditions,One or more chronic conditions,,Due to pandemic,3,0.3,,1,1
3,Reduced access to diagnostic or medical screening test,Chronic conditions,Diagnosed diabetes,737,Total,,,,,
3,Reduced access to diagnostic or medical screening test,Chronic conditions,Diagnosed diabetes,,For any reason,13.8,2.1,,0,0
3,Reduced access to diagnostic or medical screening test,Chronic conditions,Diagnosed diabetes,,Due to pandemic,4.1,1.1,,1,1
3,Reduced access to diagnostic or medical screening test,Chronic conditions,Diagnosed hypertension,2089,Total,,,,,
3,Reduced access to diagnostic or medical screening test,Chronic conditions,Diagnosed hypertension,,For any reason,8.8,0.8,,1,0
3,Reduced access to diagnostic or medical screening test,Chronic conditions,Diagnosed hypertension,,Due to pandemic,2.7,0.4,,1,1
3,Reduced access to diagnostic or medical screening test,Chronic conditions,Current asthma,562,Total,,,,,
3,Reduced access to diagnostic or medical screening test,Chronic conditions,Current asthma,,For any reason,11.2,1.5,,0,0
3,Reduced access to diagnostic or medical screening test,Chronic conditions,Current asthma,,Due to pandemic,4.2,0.9,,1,1
1,Reduced access to treatment for ongoing condition,Total,Total,6730,Total,,,,,
1,Reduced access to treatment for ongoing condition,Total,Total,,For any reason,10.5,0.5,,,
1,Reduced access to treatment for ongoing condition,Total,Total,,Due to pandemic,6.2,0.4,,,
1,Reduced access to treatment for ongoing condition,Age group,18-44 years,2596,Total,,,,,
1,Reduced access to treatment for ongoing condition,Age group,18-44 years,,For any reason,8.9,0.8,,,
1,Reduced access to treatment for ongoing condition,Age group,18-44 years,,Due to pandemic,5.4,0.6,,,
1,Reduced access to treatment for ongoing condition,Age group,45-64 years,2352,Total,,,,,
1,Reduced access to treatment for ongoing condition,Age group,45-64 years,,For any reason,12.2,0.8,,,
1,Reduced access to treatment for ongoing condition,Age group,45-64 years,,Due to pandemic,7.1,0.7,,,
1,Reduced access to treatment for ongoing condition,Age group,65 years and over,1782,Total,,,,,
1,Reduced access to treatment for ongoing condition,Age group,65 years and over,,For any reason,11.2,0.9,,,
1,Reduced access to treatment for ongoing condition,Age group,65 years and over,,Due to pandemic,6.4,0.6,,,
1,Reduced access to treatment for ongoing condition,Race/Hispanic origin,White non-Hispanic,4466,Total,,,,,
1,Reduced access to treatment for ongoing condition,Race/Hispanic origin,White non-Hispanic,,For any reason,9.9,0.7,,,
1,Reduced access to treatment for ongoing condition,Race/Hispanic origin,White non-Hispanic,,Due to pandemic,6,0.5,,,
1,Reduced access to treatment for ongoing condition,Race/Hispanic origin,Black non-Hispanic,804,Total,,,,,
1,Reduced access to treatment for ongoing condition,Race/Hispanic origin,Black non-Hispanic,,For any reason,12.6,1.7,,,
1,Reduced access to treatment for ongoing condition,Race/Hispanic origin,Black non-Hispanic,,Due to pandemic,5.5,0.9,,,
1,Reduced access to treatment for ongoing condition,Race/Hispanic origin,Other non-Hispanic,526,Total,,,,,
1,Reduced access to treatment for ongoing condition,Race/Hispanic origin,Other non-Hispanic,,For any reason,8.6,1.2,,,
1,Reduced access to treatment for ongoing condition,Race/Hispanic origin,Other non-Hispanic,,Due to pandemic,5.3,1.1,,,
1,Reduced access to treatment for ongoing condition,Race/Hispanic origin,Hispanic,934,Total,,,,,
1,Reduced access to treatment for ongoing condition,Race/Hispanic origin,Hispanic,,For any reason,11.8,1.3,,,
1,Reduced access to treatment for ongoing condition,Race/Hispanic origin,Hispanic,,Due to pandemic,7.9,1.3,,,
1,Reduced access to treatment for ongoing condition,Sex,Male,2945,Total,,,,,
1,Reduced access to treatment for ongoing condition,Sex,Male,,For any reason,9.3,0.7,,,
1,Reduced access to treatment for ongoing condition,Sex,Male,,Due to pandemic,4.9,0.4,,,
1,Reduced access to treatment for ongoing condition,Sex,Female,3785,Total,,,,,
1,Reduced access to treatment for ongoing condition,Sex,Female,,For any reason,11.5,0.7,,,
1,Reduced access to treatment for ongoing condition,Sex,Female,,Due to pandemic,7.4,0.6,,,
1,Reduced access to treatment for ongoing condition,Education,High school graduate or less,1285,Total,,,,,
1,Reduced access to treatment for ongoing condition,Education,High school graduate or less,,For any reason,11,0.9,,,
1,Reduced access to treatment for ongoing condition,Education,High school graduate or less,,Due to pandemic,5.7,0.7,,,
1,Reduced access to treatment for ongoing condition,Education,Some college,2527,Total,,,,,
1,Reduced access to treatment for ongoing condition,Education,Some college,,For any reason,11.4,0.9,,,
1,Reduced access to treatment for ongoing condition,Education,Some college,,Due to pandemic,7,0.6,,,
1,Reduced access to treatment for ongoing condition,Education,Bachelor's degree or above,2918,Total,,,,,
1,Reduced access to treatment for ongoing condition,Education,Bachelor's degree or above,,For any reason,9,0.6,,,
1,Reduced access to treatment for ongoing condition,Education,Bachelor's degree or above,,Due to pandemic,6.1,0.4,,,
1,Reduced access to treatment for ongoing condition,Urbanization,Metropolitan,6004,Total,,,,,
1,Reduced access to treatment for ongoing condition,Urbanization,Metropolitan,,For any reason,10.1,0.5,,,
1,Reduced access to regular checkup,Total,Total,,Due to pandemic,12.7,0.6,,,
1,Reduced access to treatment for ongoing condition,Urbanization,Metropolitan,,Due to pandemic,5.9,0.4,,,
1,Reduced access to treatment for ongoing condition,Urbanization,Non-Metropolitan,726,Total,,,,,
1,Reduced access to treatment for ongoing condition,Urbanization,Non-Metropolitan,,For any reason,13,1.8,,,
1,Reduced access to treatment for ongoing condition,Urbanization,Non-Metropolitan,,Due to pandemic,8.5,1.4,,,
1,Reduced access to treatment for ongoing condition,Chronic conditions,One or more chronic conditions,4042,Total,,,,,
1,Reduced access to treatment for ongoing condition,Chronic conditions,One or more chronic conditions,,For any reason,14.4,0.7,,,
1,Reduced access to treatment for ongoing condition,Chronic conditions,One or more chronic conditions,,Due to pandemic,8.3,0.5,,,
1,Reduced access to treatment for ongoing condition,Chronic conditions,Diagnosed diabetes,764,Total,,,,,
1,Reduced access to treatment for ongoing condition,Chronic conditions,Diagnosed diabetes,,For any reason,18,1.4,,,
1,Reduced access to treatment for ongoing condition,Chronic conditions,Diagnosed diabetes,,Due to pandemic,8.6,1.4,,,
1,Reduced access to treatment for ongoing condition,Chronic conditions,Diagnosed hypertension,2399,Total,,,,,
1,Reduced access to treatment for ongoing condition,Chronic conditions,Diagnosed hypertension,,For any reason,15.4,1,,,
1,Reduced access to treatment for ongoing condition,Chronic conditions,Diagnosed hypertension,,Due to pandemic,9,0.8,,,
1,Reduced access to treatment for ongoing condition,Chronic conditions,Current asthma,693,Total,,,,,
1,Reduced access to treatment for ongoing condition,Chronic conditions,Current asthma,,For any reason,19.4,1.7,,,
1,Reduced access to treatment for ongoing condition,Chronic conditions,Current asthma,,Due to pandemic,11.8,1.6,,,
2,Reduced access to treatment for ongoing condition,Total,Total,5928,Total,,,,,
2,Reduced access to treatment for ongoing condition,Total,Total,,For any reason,8.6,0.5,,1,
2,Reduced access to treatment for ongoing condition,Total,Total,,Due to pandemic,4.4,0.3,,1,
2,Reduced access to treatment for ongoing condition,Age group,18-44 years,2199,Total,,,,,
2,Reduced access to treatment for ongoing condition,Age group,18-44 years,,For any reason,8.1,0.8,,0,
2,Reduced access to treatment for ongoing condition,Age group,18-44 years,,Due to pandemic,4.1,0.5,,1,
2,Reduced access to treatment for ongoing condition,Age group,45-64 years,2062,Total,,,,,
2,Reduced access to treatment for ongoing condition,Age group,45-64 years,,For any reason,9.2,0.9,,1,
